Bezeichnung,Hersteller,Leistung (kW),Jahresleistung (grün=tatsächl. Werte),Rotor-Durchmesser (m),Nabenhöhe (m),Errichtungsjahr,Alter (Jahre),Rechtswert,Hochwert,Bürgerwind,Kleinwind,Column2,Column3,Column 16,Column 17
L5,Enercon,1800,,70,114,2003,11,3390857,5772703,Ja,,,,52.07732000624166,7.406907760249246
L6,Enercon,1800,,70,114,2004,10,3391207,5772677,Ja,,,,52.07715529735189,7.412019146546918
L7,Enercon,1800,,70,114,2004,10,3390859,5772251,Ja,,,,52.073259714793714,7.407081480838761
L8,Enercon,1800,,70,114,2004,10,3390801,5771799,Ja,,,,52.06918759539851,7.406380506018285
L9,Enercon,1800,,70,114,2003,11,3391174,5771220,Ja,,,,52.064059350196764,7.412002510869972
L10,Enercon,2000,,71,113,2006,8,3390875,5770966,Ja,,,,52.06171864351857,7.407725469587502
L11,Enercon,2000,,71,113,2006,8,3391077,5770703,Ja,,,,52.05939563583522,7.410753531330909
L12,Vestas,850,,52,74,2003,11,3388987,5769802,,,,,52.05088653454998,7.380586077062479
L13,Vestas,850,,52,74,2003,11,3388832,5769523,,,,,52.04834900953661,7.3784182544729
La1,REpower,2000,,82,80,2005,9,3417578,5776410,,,,,52.115251044977676,7.79566466931437
La2,REpower,2000,,82,80,2005,9,3417463,5776626,,,,,52.117174700928196,7.7939338607216015
La3,REpower,2000,,82,80,2005,9,3417350,5776841,,,,,52.11908964372064,7.792232337574566
Le1,Vestas,2000,,80,100,2003,11,3417917,5785030,,,,,52.19275389892662,7.798528931277888
Le2,Vestas,2000,,80,100,2003,11,3417524,5784449,,,,,52.18747489481904,7.792924513023327
Le3,Vestas,2000,,80,100,2003,11,3417189,5783987,,,,,52.18327356820508,7.7881401308183245
Lo1,Nordex,600,,43,77,2001,13,3427452,5800311,,,,,52.33139787057972,7.934654594735333
Lo2,Enercon,800,,48,76,2006,8,3427300,5800438,,,,,52.33251888545984,7.932397770913686
M1,Wind World,150,,27,41.5,1994,20,3415375,5797526,,,,,52.30464520089892,7.758233257305893
Me1,Enercon,1000,,58.6,70.5,2003,11,3376648,5781188,,,,,52.150556561971506,7.196681286347005
Me2,Enercon,1800,,70,114,2004,10,3376820,5782583,,,,,52.16312584754784,7.198687036185083
Me3,Enercon,600,,44,78,2011,3,3376884,5783126,,,,,52.16801773684705,7.1994249491283435
Me4,Enercon,600,,44,78,2002,12,3377049,5783075,,,,,52.1675963920384,7.2018537946083665
Me5,Enercon,2300,,71,113,2009,5,3377315,5783080,,,,,52.16770048544054,7.2057377718756275
Me6,Enercon,2300,,71,113,2009,5,3377289,5783443,,,,,52.17095544064566,7.2052267213520045
Me7,Enercon,2300,,71,113,2009,5,3377641,5783693,,,,,52.173279272438094,7.210279072764238
N1,Enron Wind,600,,46,60,2000,14,3386857,5792555,,,,,52.254855789805674,7.341971547431492
N2,Tacke,60,,19.8999999999999,30,2001,13,3391022,5792476,,Ja,,,52.25498671613668,7.402965474943952
N3,General Electric,1500,,77,100,2012,2,3391782.12,5787241.82,,,,,52.20810748882452,7.415766055603224
N4,Enercon,2000,,82,98,2011,3,3391503,5786426,,,,,52.20073097206721,7.411947300713391
N5,General Electric,1500,,77,100,2003,11,3392176.97,5786698.00999999,,,,,52.203306565580014,7.421700444310565
N6,Enercon,2300,,82,98,2012,2,3392364,5786535,,,,,52.20187896136001,7.424501094662503
No1,Enron Wind,1500,,77,100,2001,13,3394627,5777656,,,,,52.122548030453494,7.460344793440826
No2,Enron Wind,1500,,77,100,2001,13,3394731,5777408,,,,,52.12033981486499,7.46193942389276
No3,Enron Wind,1500,,77,100,2001,13,3394888,5777166,,,,,52.11819555714794,7.464305521805795
No4,Enron Wind,1500,,77,100,2001,13,3395356,5776612,,,,,52.11330717044443,7.471305810739764
No5,Enron Wind,1500,,77,100,2001,13,3395318,5776348,,,,,52.1109281938933,7.4708324591288475
No6,NEG Micon,1000,,60,80,2002,12,3392835,5772825,,,,,52.07880236243994,7.435709493764766
No7,Enercon,600,,44,78,2002,12,3392420,5772601,,,,,52.07670949555684,7.429729048008351
No8,Enercon,500,,40.2999999999999,65,1998,16,3392532,5772315,,,,,52.0741618399061,7.431452101614439
No9,NEG Micon,1000,,60,80,2002,12,3393440,5772678,,,,,52.07759847419974,7.444576898351177
No10,Tacke,80,,21,40,1993,21,3398482,5772599,,,,,52.07783603295928,7.518117839348771
No11,Tacke,300,,33,50,1995,19,3398339,5772471,,,,,52.076659810544434,7.516070871275014
No12,Enercon,200,,30,50,1995,19,3398271,5776417,,,,,52.11209914094786,7.513901684471018
,,,,,,2014,0,,,,,Scheddebrock,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
O1,Enercon,1800,,70,98,2003,11,3374383,5790950,,,,,52.237733144093305,7.159988985531486
O2,Enercon,1800,,70,114,2003,11,3374702,5790993,,,,,52.23819206611145,7.1646403035845605
O3,Enercon,1800,,70,114,2003,11,3375299,5791505,,,,,52.24292661145522,7.173186187330302
O4,Südwind,270,,31.3999999999999,52,1995,19,3375531,5791552,,,,,52.243401286963675,7.17656366428913
O5,Enercon,1800,,70,114,2003,11,3376037,5791391,,,,,52.242069265894024,7.184026970464926
O6,Enercon,1800,,70,114,2003,11,3375558,5790870,,,,,52.237281331957846,7.17720983132266
O7,Tacke,60,,17.5,40,1992,22,3373847,5787842,,Ja,,,52.20969333343903,7.153305675888675
O8,Tacke ,60,, -    , - ,1991,23,3374729,5787840,,Ja,,,52.2098765193163,7.1662027387409815
O9,Tacke,80,,21,40,1995,19,3381906,5787155,,,,,52.20530759432839,7.271386908817731
O10,Enercon,600,,44,78,1998,16,3370688,5787146,,,,,52.20270972466212,7.107382756785848
O11,Vestas,2000,,80,100,2002,12,3370966,5787218,,,,,52.203421572960885,7.111419399872109
O12,Enercon,1000,,58.6,70.5,2003,11,3371252,5787141,,,,,52.20279679955121,7.115629759905943
O13,Vestas,2000,,80,100,2003,11,3370893,5786935,,,,,52.200862518577964,7.110460048079226
O14,Enercon,600,,44,78,2000,14,3371335,5786977,,,,,52.20134308651725,7.1169054238437806
O15,Enercon,600,,44,78,2001,13,3371255,5786785,,,,,52.199599823103206,7.1158088974288916
O16,General Electric,600,,46,76.9,2002,12,3371682,5786715,,,,,52.19907059265657,7.122077298285508
O17,Vestas ,2000,,90,95,2011,3,3371150.74,5786496.58999999,,,,,52.19697943212031,7.114383902701886
O18,Enercon,1800,,70,98,2004,10,3374699,5785671,,,,,52.190386664465315,7.166566227768533
O19,Tacke,600,,46,70,1998,16,3375425,5785562,,,,,52.18957200530173,7.177217090629861
O20,Enron Wind,1500,,77,85,2002,12,3376481,5785732,,,,,52.19133653017703,7.192588896052178
O21,Enron Wind,1500,,77,85,2002,12,3376039,5785292,,,,,52.18728502238003,7.1862895706784915
O22,Tacke,600,,46,70,2000,14,3375376,5785010,,,,,52.18460255888256,7.176703831009495
O23,Enron Wind,600,,46,70,2001,13,3375265,5784854,,,,,52.18317619398239,7.175139104694188
O24,Vestas,850,,52,74,2002,12,3377586,5783960,,,,,52.175665471020935,7.20937919224747
,,,,,,2014,0,,,,,,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
,,,,,,2014,0,,,,,,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
R1,Tacke,60,,17.5,40,1992,22,3392581,5798475,,Ja,,,52.30918576183168,7.423875617069773
R2,Tacke,60,,17.5,30,1992,22,3394692,5798871,,Ja,,,52.313152144440494,7.454691793716752
R3,Tacke,60,,17.5,40,1992,22,3393365,5797528,,Ja,,,52.30083108960193,7.435666226439492
R4,-,-,,-,-,-,-,3396778,5795779,,,,,52.285770302708315,7.486216272009855
R5,Tacke,80,,21,40,1993,21,3393286,5789443,,,,,52.22818290741577,7.437064986691161
R6,General Electric,1500,,77,100,2002,12,3392388,5788772,,,,,52.221980150766484,7.424140923647999
R7,General Electric,1500,,77,100,2002,12,3392010,5788229,,,,,52.21702806307575,7.418784951857983
R8,General Electric,1500,,77,100,2002,12,3392454,5788253,,,,,52.21733051082258,7.425271300504393
R9,General Electric,1500,,77,100,2002,12,3392089,5787848,,,,,52.21362076560136,7.420061878206053
R10,General Electric,1500,,77,100,2002,12,3392543,5787716,,,,,52.21252363337777,7.426743512006346
R11,General Electric,1500,,77,100,2002,12,3392172,5787417,,,,,52.20976504968622,7.421413022709694
R12,General Electric,1500,,77,100,2002,12,3392467,5787285,,,,,52.20863683748576,7.425768933174322
Re1,Tacke,60,,17.5,40,1992,22,3410507,5806559,,Ja,,,52.38503065312463,7.684477596844215
,,,,,,2014,0,,,Ja,,Kläranlage,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
,,,,,,2014,0,,,,,,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
S1,REpower,1500,,77,100,2004,10,3387222,5783884,Ja,,,,52.177036136103645,7.350203550798359
S2,General Electric,1500,,77,100,2002,12,3387448,5783591,Ja,,,,52.17445013462317,7.353603164374462
S3,General Electric,1500,,77,100,2002,12,3387382,5783256,Ja,,,,52.171427221797884,7.352749982110686
S4,Enron Wind,1500,,77,100,2001,13,3388470,5784120,Ja,,,,52.17940989195945,7.368362390326837
S5,Enron Wind,1500,,77,100,2001,13,3388795,5783830,Ja,,,,52.176870271347354,7.37320680162613
S6,Enron Wind,1500,,77,100,2001,13,3389023,5784342,Ja,,,,52.18151573700701,7.376370949029752
S7,Enron Wind,1500,,77,100,2001,13,3389222,5783831,Ja,,,,52.17696514173832,7.379446041972762
S8,General Electric,1500,,77,100,2002,12,3388838,5783325,Ja,,,,52.172342257486115,7.374000595533745
S9,REpower,2000,,92.5,100,2007,7,3389471.85999999,5784964.34999999,Ja,,,,52.187193434317805,7.3827153286549905
S10,Enron Wind,1500,,77,100,2001,13,3389660,5784361,Ja,,,,52.18181418821301,7.385673969607413
S11,Enron Wind,1500,,77,100,2001,13,3389947,5784032,Ja,,,,52.17891591374413,7.389975017175965
S13,Enron Wind,1500,,77,100,2001,13,3390289,5783737,Ja,,,,52.176333856853994,7.39506819201638
S14,REpower,1500,,77,100,2003,11,3390658,5783580,Ja,,,,52.174996666418615,7.400510821323844
S15,General Electric,1500,,77,100,2002,12,3390512,5783274,Ja,,,,52.172218727845156,7.398476195829366
S16,REpower,1500,,77,100,2003,11,3391098,5783374,Ja,,,,52.173233037404025,7.407006287726162
S17,REpower,1500,,77,100,2003,11,3390909,5783000,Ja,,,,52.16983582104325,7.404364933711047
S18,REpower,1500,,77,100,2004,10,3391486,5783387,Ja,,,,52.17342625352008,7.412671436975244
S19,REpower,1500,,77,100,2004,10,3391348,5782911,Ja,,,,52.16912286608812,7.410807431032448
S20,Tacke,80,,21,40,1993,21,3382923,5783711,,,,,52.17458672585464,7.287446091966508
S21,Tacke,80,,21,40,1992,22,3384431,5782732,,,,,52.16610999157743,7.309813283709106
S22,Südwind ,30,,12.5,37,1993,21,3384319,5780921,,Ja,,,52.14981787024857,7.308793973184442
S23,-,75,,-,-,1991,23,3390676,5780765,,,,,52.14971123046236,7.401680241668488
S24,Enercon,80,,17.1999999999999,34,1991,23,3387605,5777081,,Ja,,,52.1159996165535,7.358050026206516
S25,Tacke,80,,21,40,1993,21,3390402,5774966,,,,,52.09756041147445,7.399546464522625
S26,Tacke,300,,33,50,1995,19,3390694,5774903,,,,,52.097052188713924,7.403826020236606
S27,Tacke,600,,46,70,1998,16,3390744,5774493,,,,,52.09337871406141,7.4046867714464675
S28,Tacke,600,,46,70,1998,16,3391025,5774382,,,,,52.092436912455284,7.408820776582882
S29,Enron Wind,1500,,77,100,2000,14,3390654,5773936,,,,,52.08835697552346,7.403552718196631
S30,Enercon,2300,,71,113,2009,5,3390646.16,5773452.57,,,,,52.08400724283554,7.4035912424230625
S31 ,REpower,2000,,92,100,2011,3,3389479,5783429,,,,,52.17340528420672,7.383332442342328
,,,,,,2014,,,,Ja,,Hollich,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,Sellen,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,2015,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,Dumte,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,Ja,,,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
