vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Ludgeriplatz,Königsstraße,mo,9/12/2016,13:25,5,,m,,,,,3,,1,n,,,,1,1,,,21,ms,40,ms,,303,,28,,,,,,19,,,,,
Am Hawerkamp,31,mo,9/12/2016,18:45,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,,,19,,,,,
Moltkestraße,Ludgeriplatz,mo,9/12/2016,11:22,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,NL,,252,,14,,,,,,45,,,,,
Augusat-Schepers-Straße,20,mo,9/12/2016,8:40,5,,m,,,,,1,,,,,,,,1,,,46,PL,,,,799,,49,,,,,,46,,,,,
Hohenzollernring,72,mo,9/12/2016,16:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,,,80,,,,,
Steinfurter Straße,Wilkinghege,mo,9/12/2016,8:30,5,,,m,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,60,,,,,
Schifffahrter Damm,66,mo,9/12/2016,16:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,SRB,,501,,14,,,,,,82,,,,,
Junkerstraße,4,mo,9/12/2016,10:20,5,,m,,,,,2,,,,,,,1,1,,,44,vec,21,st,,502,,14,,,,,,37,,,,,
Hoyastraße,5,mo,9/12/2016,15:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,232,,34,,,,,,45,,,,,
Regina-Prothmann-Straße,Bröderichweg,mo,9/12/2016,15:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,39,,,,,
Kinderhauser Straße,Nienkamp,mo,9/12/2016,16:54,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,31,,,,,
Nuttulner Landweg,66,mo,9/12/2016,12:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,56,,,,,
Horstmarer Landweg,250,mo,9/12/2016,17:00,5,,o,,,,,2,,,,,,,2,,,,21,st,21,coe,,501,,14,,,,,,51,,,,,
Am Roggenkamp,264,mo,9/12/2016,21:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2,,70,,,,,
Martin-Luther-King-Weg,30,mo,9/12/2016,17:45,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,703,,36,,,,,,25,,,,,
Bergiusstraße,ggü. 8,mo,9/12/2016,17:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,26,,,,,
Möllmannweg,31,di,9/13/2016,10:00,5,,z,,,,,2,,,,,,,1,,,1,22,st,21,ms,,681,,14,,,,,,80,,,,,
Hansaring,Albersloher Weg,di,9/13/2016,21:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,601,,13,14,,,2,,21,,,,,
Am Max-Klemens-Kanal,Grevener Straße,di,9/13/2016,7:26,5,,m,,,,,2,,,,,,,2,,,,21,re,21,ms,,621,,13,14,,,,,30,,,,,
Wilhelm-Klemm-Straße,6,di,9/13/2016,8:30,5,,m,,,,,2,,,,,,,2,,,,21,ah,21,ms,,621,,14,13,,,,,39,,,,,
Albert-Schweitzer-Straße,1,di,9/13/2016,13:00,5,,o,,,,,2,,,,,,,2,,,,21,be,21,bor,,703,,14,,,,,,56,,,,,
Weseler Straße,649,di,9/13/2016,14:00,5,,m,,,,,2,,,,,,,1,1,,,51,st,21,waf,,703,,14,,,,,,20,,,,,
