vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Heisstraße,Maybachstraße,mi,1/7/2015,22:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,594,,14,,,,2,,55,-,,,,
Hammer Straße,12,mi,1/7/2015,14:50,5,,m,,,,,3,,2,n/n,,,,1,,,,71,,71,,,651,,14,,,,,,64,-,,,,
Hammer Straße,225,mi,1/7/2015,16:26,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,601,,14,,,,1,,43,-,,,,
Siemensstraße,Hammer Straße,mi,1/7/2015,13:13,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,,21,-,,,,
Grafschaft,30,mi,1/7/2015,11:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,,1,39,-,,,,
Osttor,46 / Parkplatz,mi,1/7/2015,10:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,1,62,-,,,,
Westfalenstraße,203 / Parkplatz,do,1/8/2015,8:00,5,,m,,,,,2,,,,,,,2,,,,21,el,21,ms,,703,,36,,,,1/3,1,54,-,,,,
Corrensstraße,25,do,1/8/2015,12:15,5,,o,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,501,,14,,,,,1,25,-,,,,
Albert-Schweitzer-Straße,Parkhaus UKM,do,1/8/2015,11:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,1,74,-,,,,
Nienkamp,vor Hengst-Filterbau,mi,1/7/2015,14:05,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,waf,,711,,36,,,,,,48,-,,,,
Friedrich-Ebert-Straße,101,mi,1/7/2015,18:10,5,X,,,,,,2,,,,,,,,1,,1,92,,40,ms,,501,,49,,,,2/3,,F,-,,,,
Schlossplatz,Gerichtsstraße,di,1/6/2015,20:03,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ac,,211,,35,,,,2,,76,-,,,,
Kappenberger Damm,Geringhoffstraße,mi,1/7/2015,15:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,231,,14,,,,,1,73,-,,,,
Osttor,80,mi,1/7/2015,7:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,601,,14,,,,2/3,1,56,-,,,,
Schaumburgstraße,10,mi,1/7/2015,8:34,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,w,,711,,36,,,,,1,58,-,,,,
Laerer Landweg,Wolbecker Straße,mi,1/7/2015,10:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,waf,,601,,14,,,,,,45,-,,,,
Friedrichstraße,Wolbecker Straße,do,1/8/2015,8:38,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,301,,28,,,,1,1,55,-,,,,
Westfalenstraße,Bushaltestelle Merkureck einw.,di,1/6/2015,13:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,601,,14,,,,,1,24,-,,,,
Lotharinger Straße,ggü. Sporthalle,mi,1/7/2015,18:58,5,,o,,,,,3,,,,,,,3,,,,21,fl,21,ms,,701,,14,,,,2/3,,35,-,,,,
Friedrich-Ebert-Straße,24,mi,1/7/2015,20:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2,,25,-,,,,
Am Hörsterfriedhof,27,do,1/8/2015,18:33,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,2,1,52,-,,,,
Bodelschwinghstraße,Unckelstraße,mi,1/7/2015,10:05,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,261,,49,,,,,1,80,69,,,,
Weseler Straße,Geiststraße,do,1/8/2015,17:15,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,471,,39,40,81,,2/3,1,38,17,,,,
Friedrich-Wilhem-Weber-Straße,30 / Parkplatz,mo,1/5/2015,8:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,703,,49,,,,,1,F,-,,,,
Wilkinghege,94,do,1/8/2015,16:32,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,461,,38,,,,2/3,1,73,57,,,,
Wolbecker Straße,ausw. Linksabb. B 51,do,1/8/2015,7:30,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,712,,44,,,,2/3,1,34,-,,,,
Weseler Straße,Spinne FR Umgehung,do,1/8/2015,19:00,5,,z,,,,,2,,,,,,,2,,,,21,gt,21,ms,,623,,14,,,,2/3,1,42,-,,,,
Dingbängerweg,Weseler Straße,do,1/8/2015,10:15,5,,z,,,,,2,,,,,,,1,1,,,21,ms,44,ah,,601,,14,,,,,1,37,-,,,,
Geiststraße,81,do,1/8/2015,13:53,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,1,30,-,,,,
Hoher Heckenweg,Im Hagenfeld,fr,1/9/2015,22:45,4,,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,211,,35,,,,2/3,1,47,31,Stadt,,,
Grevener Straße,182,fr,1/9/2015,10:13,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,coe,,701,,14,,,,,,63,-,,,,
Am Mittelhafen,k.h. Einfahrt Stadtwerke,fr,1/9/2015,19:50,5,,z,,,,,2,,,,,,,2,,,,21,st,21,hb,,711,,36,,,,2,1,21,-,,,,
Wolbecker Straße,270,fr,1/9/2015,20:20,5,,z,,,,,2,,,,,,,2,,,,21,ham,21,vie,,634,,14,49,,,2/3,1,61,-,,,,
Hohenzollernring,80,fr,1/9/2015,11:10,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,,1,32,-,,,,
Lütke Gasse,ggü. 19,fr,1/9/2015,11:30,5,,z,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,711,,36,,,,,,49,-,,,,
Grevener Straße,Dreizehnerstraße,sa,1/10/2015,13:15,5,,a,,,,,2,,,,,,,2,,,,21,st,21,ms,,623,,14,,,,,1,53,-,,,,
Gescherweg,100,sa,1/10/2015,8:30,5,,z,,,,,2,,,,,,,1,1,,,44,do,21,hro,,641,,26,,,,,1,51,-,,,,
Mauritz-Lindenweg,101 / Parkplatz,so,1/11/2015,13:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,36,,1,47,23,,,,
Alter Kirchplatz,Fahrbahnrand,do,1/8/2015,17:57,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,2/3,1,F,-,,,,
Alter Mühlenweg,50m h. Abzw. Kasewinkel,sa,1/3/2015,12:10,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,681,,11,,,,,1,F,-,,,,
Steinfurter Straße,448 / Parkplatz,so,1/4/2015,14:10,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,-,,,,
Albersloher Weg,577,do,1/8/2015,16:30,3,,,,,,1,2,,,,,,,2,,,,21,waf,21,ms,,611,,14,,,,2/3,1,33,26,,,,
Hohenholter Straße,zw. Hülshoff-u. Havixbecker Straße,do,1/8/2015,7:10,5,,,a,,,,2,,,,,,,,1,1,,31,st,44,lm,,681,,11,14,,11,2,1,48,44,,,,
Friedrichstraße,9 / Hinterhof,fr,1/2/2015,8:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,l,,703,,49,,,,,1,F,-,,,,
Am Berler Kamp,Hiltruper Straße,do,1/8/2015,10:45,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,211,,35,,,,,1,54,70,,,,
Hammer Straße,53,mo,1/5/2015,8:30,5,,m,,,,,2,,,,,,,1,1,,,44,hx,21,su,,711,,36,,,,1,1,51,-,,,,
Sternstraße,13,mo,1/5/2015,11:55,5,,m,,,,,2,,,,,,,2,,,,21,hsk,21,ms,,591,,14,,,,,1,39,-,,,,
Friedrich-Wilhem-Weber-Straße,30,mi,1/7/2015,22:55,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,nrw,,711,,36,,,,2,,44,-,,,,
Albersloher Weg,Erbdrostenweg,do,1/8/2015,14:15,5,,m,,,,,2,,,,,,,1,1,,,40,coe,21,ms,,623,,14,,,,,1,38,-,,,,
Soester Straße,Hansaring,do,1/8/2015,20:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,1,42,-,,,,
Von-Vincke-Straße,Windthorststraße,do,1/8/2015,16:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,coe,,711,,36,,,,,,27,-,,,,
Achtermannstraße,10,do,1/8/2015,8:10,5,,o,,,,,2,,,,,,,1,1,,,44,coe,21,hh,,711,,36,,,,1,1,50,-,,,,
Ludgeriplatz,Moltkestraße,do,1/8/2015,16:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,641,,26,,,,,1,38,-,,,,
Schaumburgstraße,3,fr,1/9/2015,21:45,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,711,,36,,,,,1,19,-,,,,
Alter Steinweg,Alter Fischmarkt,fr,1/9/2015,9:40,5,,m,,,,,2,,1,P,,,,1,,,,21,ms,71p,,,594,,14,,,,,,47,-,,,,
Albrecht-Thaer-Straße,ggü. 18,fr,1/9/2015,9:05,5,,m,,,,,1,,,,,,,,1,,,51,bor,,,,711,,36,,,,,,34,-,Stadt,,,
Maximilanstraße,56,fr,1/9/2015,16:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,44,-,,,,
Backenkamp,30,fr,1/9/2015,14:40,5,,o,,,,,1,,,,,,,,1,,,44,bn,,,,711,,36,,,,,,33,-,,,,
Roxeler Straße,416 / Parkplatz ,fr,1/9/2015,18:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,63,-,,,,
Weseler Straße,Osthoffstraße,fr,1/9/2015,7:35,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,waf,,231,,14,49,,,,,38,-,,,,
Boeselagerstraße,Ossenkampstiege,fr,1/9/2015,7:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,201,,14,,,,1,,26,-,,,,
Gut Insel,49a,fr,1/9/2015,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,593,,14,,,,,,55,-,,,,
Hummelbrink,1,fr,1/9/2015,10:00,5,,m,,,,,2,,,,,,,1,1,,,46,re,21,ma,,501,,14,,,,,,38,-,,,,
B 51,ausw. Linksabb. Warendorfer Straße,fr,1/9/2015,18:10,5,,,m,,,,2,,,,,,,2,,,,21,ms,21,waf,,631,,26,,,,2,1,89,-,,,,
Hogenbergstraße,9a,fr,1/9/2015,15:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,302,,28,,,,,1,19,-,,,,
Wiener Straße,41,fr,1/9/2015,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,302,,28,,,,,,67,-,,,,
Hansaring,25,fr,1/9/2015,16:55,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,592,,14,,,,1,1,39,-,,,,
Schmeddingstraße,52,fr,1/9/2015,12:35,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,wü,,701,,14,,,,,,41,-,,,,
Gildenstraße,30,fr,1/9/2015,10:25,5,,o,,,,,1,,,,,,,,1,,,46,LT,,,,711,,36,,,,,,56,-,,,,
Rektoratsweg,50 / Parkplatz,fr,1/9/2015,9:45,5,,o,,,,,2,,,,,,,2,,,,21,shg,21,ms,,703,,45,,84,,,,55,-,,,,
Piusallee,ggü. 39,fr,1/9/2015,11:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,501,,14,,,,,,27,-,,,,
Grevener Straße,Dreizehnerstraße,fr,1/9/2015,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,29,-,,,,
Steinfurter Straße,Wilhelmstraße,sa,1/10/2015,13:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,23,-,,,,
Bahnhofstraße,Parkplatz Post,sa,1/10/2015,15:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,wi,,703,,45,,,,,1,48,-,,,,
Emdener Straße,22,so,1/11/2015,11:45,5,,m,,,,,2,,,,,,,1,1,,,40,hh,21,waf,,502,,14,,,,,1,36,-,,,,
Von-Steuben-Straße,Herwarthstraße,so,1/11/2015,16:20,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,623,,14,,,,1,1,68,-,,,,
Hoher Heckenweg,Piusallee,so,1/11/2015,15:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,mi,,631,,26,,,,,1,56,-,,,,
Albersloher Weg,Bachstraße,so,1/11/2015,12:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,so,,601,,14,,,,,1,41,-,,,,
Warendorfer Straße,Handorfer Straße,so,1/11/2015,17:00,5,,,m,,,,2,,,,,,,2,,,,21,waf,21,ms,,623,,14,,,,2/3,1,20,-,,,,
Lützowstraße,100m v. Warendorfer Straße,so,1/11/2015,2:05,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,46,-,,,,
Roxeler Straße,501,so,1/11/2015,14:31,5,,,m,,,,1,,,,,,,1,,,,21,ms,,,,101,,49,,,,,1,80,-,,,,
B 54neu,Steinfurter Straße,so,1/11/2015,16:30,5,,,m,,,,2,,,,,,,2,,,,21,el,21,st,,623,,14,,,,1,1,18,-,,,,
Domagkstraße,14,do,1/8/2015,15:15,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,,1,27,-,,,,
Engelstraße,Herwarthstraße,do,1/8/2015,18:05,5,,m,,,,,2,,,,,,,2,,,,21,rv,21,ms,,601,,14,,,,2/3,1,32,-,,,,
Weseler Straße,370,do,1/8/2015,15:20,5,,m,,,,,2,,,,,,,2,,,,21,vec,21,d,,631,,26,,,,,1,55,-,,,,
Kinderhauser Straße,111,fr,1/9/2015,18:05,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,701,,14,,,,2/3,1,30,-,,,,
Marderweg,Eichhornweg,sa,1/10/2015,14:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,35,-,,,,
Wolbecker Straße,41,sa,1/10/2015,9:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,501,,14,,,,,,49,-,,,,
Albersloher Weg,Lippstädter Straße,mi,1/7/2015,13:58,5,,z,,,,,2,,,,,,,,2,,,46,st,46,un,,231,,35,14,,,,,21,-,,,,
B 51,Abfahrt Robert-Bosch-Straße,do,1/8/2015,7:15,5,,,z,,,,2,,,,,,,2,,,,21,coe,21,ms,,611,,14,,,,1,1,20,-,,,,
Tilbecker Straße,26 / Zufahrt Schule,fr,1/9/2015,16:10,5,,z,,,,,1,,,,,,,,1,,,46,el,,,,101,,14,49,,,,,56,-,,,,
