vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Aegidiistraße,11,Di,1/5/2010,10:46,5,X,,,,2,,,,,,2,,,,21,21,,302,,28,,,1,1,26,,,
Sprakeler Straße,29 / Parkplatz,Di,1/5/2010,11:00,5,,,,,2,,,,,,2,,,,21,21,,261,,11,72,,2/3/2016,2,25,,,
Aegidiimarkt,Parkhaus,Di,1/5/2010,11:30,5,X,,,,2,,,,,,2,,,,21,21,,799,,49,72,,0,2,F,,,
Warendorfer Straße,111,Di,1/5/2010,12:05,5,X,,,,2,,,,,,1,,,1,92,21,,623,,14,72,,0,1/2/2016,61,,,
Ludgeriplatz,Ludgeristraße,Di,1/5/2010,12:30,5,,,,,2,,,,,,2,,,,21,21,,644,,26,72,,2/3/2016,2,45,,,
Prinzipalmarkt,Salzstraße,Di,1/5/2010,12:35,5,,,,,2,,,,,,1,,1,,31,21,,351,,28,72,,2/3/2016,2,43,,,
Manfred-von-Richthofen-Straße,31,Di,1/5/2010,12:55,5,,,,,2,,,,,,2,,,,21,21,,141,,49,72,,1/3/2016,2,47,,,
Freckenhorster Straße,"km 1,2 FR WAF",Di,1/5/2010,13:00,5,,,,,1,,,,,,1,,,,21,,,302,,28,72,,0,2,41,,,
Glasuritstraße,4 / Parkplatz Lidl,Di,1/5/2010,13:35,5,,,,,2,,,,,,2,,,,21,21,,703,,49,,,0,0,F,,,
Johann-Krane-Weg,Parkplatz Eissporthalle,Di,1/5/2010,13:40,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,0,2,F,,,
Düesbergweg,1,Di,1/5/2010,13:53,5,,,,,2,,,,,,2,,,,21,21,,572,,36,,,0,1,49,,,
Scharnhorststraße,59,Di,1/5/2010,14:40,5,,,,,2,,,,,,1,1,,,41,21,,601,,14,13,72,1,2,33,,,
Zum Erlenbusch,90,Di,1/5/2010,15:10,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,0,2,F,,,
Schifffahrter Damm,Hessenweg,Di,1/5/2010,16:58,2,X,,1,,2,,,,,,2,,,,21,21,,141,,13,72,,2,2,53,,,
Tibusstraße,vor Tibusstift,Di,1/5/2010,17:20,5,,,,,2,,,,,,2,,,,21,21,,102,,13,72,,0,2,21,,,
Loddenheide,Gustav-Stresemann-Weg,Di,1/5/2010,17:50,5,,,,,2,,1,,,,,1,,,41,71,,799,,49,72,,2,2,F,,,
Langestraße,49,Di,1/5/2010,18:00,5,,,,,2,,,,,,2,,,,21,21,,681,,49,72,,0,2,26,,,
Sankt-Josefs-Kirchplatz,2,Di,1/5/2010,18:30,5,X,,,,1,,,,,,,,,1,92,,,141,,13,72,,0,2,18,,,
Eisenbahnstraße,Höhe Mauritzhof,Di,1/5/2010,18:52,5,,,,,2,,,,,,1,,1,,21,33,,141,,13,72,,0,2,24,,,
Andreas-Hofer-Straße,70,Di,1/5/2010,19:20,5,,,,,2,,,,,,2,,,,21,21,,703,,14,72,,2,2,30,,,
Davertstraße,129,Di,1/5/2010,22:45,5,,,,,1,,,,,,1,,,,21,,,623,,14,72,,0,2,51,,,
Homannstraße,ggü. 38,Di,1/5/2010,1:00,5,,,,,1,,,,,,1,,,,21,,,141,,13,,,2,1,23,,,
Kappenberger Damm,Höhe Alexianer KH,Di,1/5/2010,19:05,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,2,1,43,,,
Heroldstraße,Bahnübergang Getterbach,Mi,1/6/2010,6:45,5,,,,,1,,,,,,1,,,,21,,,101,,13,72,,2,2,64,,,
Wiener Straße,Sackgasse,Mi,1/6/2010,7:30,5,,,,,1,,,,,,,1,,,45,,,581,,45,,,0,0,36,,,
Friesenring,43,Mi,1/6/2010,9:30,5,,,,,2,,,,,,1,,1,,21,33,,201,,14,72,,2/3/2016,2,39,,,
Hüfferstraße,52,Mi,1/6/2010,10:10,5,X,,,,2,,,,,,2,,,,21,21,,640,,26,72,,2,2,41,,,
Weseler Straße,Inselbogen,Mi,1/6/2010,10:15,5,,,,,2,,,,,,2,,,,21,21,,623,,14,72,,0,2,38,,,
Wiener Straße,50,Mi,1/6/2010,10:25,5,,,,,2,,,,,,2,,,,21,21,,623,,14,,,0,1,54,,,
Siemensstraße,Robert-Bosch-Straße,Mi,1/6/2010,10:35,5,,,,,2,,,,,,2,,,,21,21,,502,,14,72,,0,2,18,,,
Hindenburgplatz,Frauenstraße,Mi,1/6/2010,10:35,3,,,,1,2,,,,,,2,,,,21,21,,701,,14,72,,0,2,42,,,
Düesbergweg,125,Mi,1/6/2010,11:00,5,,,,,1,,,,,,1,,,,21,,,591,,14,72,,2,2,31,,,
Warendorfer Straße,479,Mi,1/6/2010,13:09,5,,,,,1,,,,,,1,,,,21,,,630,,26,,,0,1,33,,,
Am Schütthook,Clemens-August-Platz,Mi,1/6/2010,13:25,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,1,2,34,,,
Bernsmeyerstiege,Parkhaus KH,Mi,1/6/2010,13:30,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,2,2,?,,,
Grevener Straße,69 / Parkplatz Saturn,Mi,1/6/2010,14:00,5,X,,,,2,,,,,,1,,,1,92,21,,623,,14,72,,0,2,36,,,
Otto-Hahn-Straße,26 / Parkplatz,Mi,1/6/2010,16:10,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,0,1,48,,,
Nobelstraße,18,Mi,1/6/2010,16:40,5,,,,,1,,,,,,,1,,,51,,,751,,0,,86,0,1,46,,,
Schaumburgstraße,16 / Parkplatz,Mi,1/6/2010,17:05,5,,,,,2,,,,,,2,,,,21,21,,640,,26,,,1,1,58,,,
Weseler Straße,Inselbogen,Mi,1/6/2010,17:40,5,,,,,2,,,,,,2,,,,21,21,,141,,13,72,,0,2,55,,,
Hafenweg,15,Mi,1/6/2010,18:50,5,,,,,2,,,,,,2,,,,21,21,,681,,11,72,,0,2,24,,,
Johann-Krane-Weg,Leonardo Campus,Mi,1/6/2010,19:18,5,,,,,2,,,,,,2,,,,21,21,,501,,14,72,,0,2,32,,,
Arnheimweg,45 / Parkplatz,Mi,1/6/2010,19:30,5,,,,,2,,,,,,2,,,,21,21,,620,,14,72,,0,2,56,,,
Sentmaringer Weg,Kerkerinck,Mi,1/6/2010,19:30,5,,,,,3,,,,,,3,,,,21,21,,601,,14,72,,0,2,37,,,
Warendorfer Straße,563,Mi,1/6/2010,6:55,5,,,,,2,,,,,,2,,,,21,21,,681,,14,72,,2,2,64,,,
Metzer Straße,33,Mi,1/6/2010,16:27,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,1,1/2/2016,22,,,
Albert-Schweitzer-Straße,Tiefgarage Uniklinik,Mi,1/6/2010,5:40,5,X,,,,2,,,,,,2,,,,21,21,,703,,49,,,0,0,F,,,
Hohenzollernring,72,Do,1/7/2010,7:00,5,,,,,2,,,,,,1,1,,,21,41,,681,,13,49,72,0,2,53,,,
Hindenburgplatz,58,Do,1/7/2010,7:55,3,,,,2,2,,,,,,2,,,,21,21,,141,,13,72,,0,2,41,,,
Friedrich-Ebert-Straße,Dahlweg,Do,1/7/2010,8:00,5,,,,,2,,,,,,2,,,,21,21,,601,,14,13,72,0,2,23,,,
Friesenring,38,Do,1/7/2010,8:05,2,,,1,,1,,1,,,,,,,,71,,,321,,31,72,,0,2,45,,,
Kanalstraße,Bröderichweg,Do,1/7/2010,8:55,5,,,,,2,,,,,,2,,,,21,21,,321,,27,72,,0,2,38,,,
Warendorfer Straße,163,Do,1/7/2010,9:00,5,X,,,,2,,,,,,1,,,1,92,21,,601,,14,13,72,0,2,33,,,
Wolbecker Straße,229,Do,1/7/2010,9:30,5,,,,,2,,,,,,2,,,,21,21,,301,,28,72,,2/3/2016,2,18,,,
Düesbergweg,Werlandstraße,Do,1/7/2010,9:50,5,,,,,2,,,,,,1,1,,,21,41,,602,,14,72,,0,2,76,,,
Hohenzollernring,Manfred-von-Richthofen-Straße,Do,1/7/2010,9:50,5,,,,,2,,,,,,1,,1,,31,21,,122,,11,49,72,1,2,25,,,
Antoniusstraße,6,Do,1/7/2010,10:20,5,,,,,2,,,,,,2,,,,21,21,,303,,28,72,,2/3/2016,2,47,,,
Gartenstraße,Kolpingstraße,Do,1/7/2010,10:20,5,,,,,2,,,,,,2,,,,21,21,,640,,26,,,0,0,51,,,
Loddenheide,Gustav-Stresemann-Weg,Do,1/7/2010,10:25,5,,,,,2,,,,,,1,1,,,45,21,,101,,13,72,,0,2,27,,,
Schorlemerstraße,Ludgeriplatz,Do,1/7/2010,10:45,5,,,,,2,,,,,,1,1,,,41,21,,141,,13,72,,0,2,24,,,
Scheibenstraße,Friedrich-Ebert-Straße,Do,1/7/2010,11:20,5,,,,,2,,,,,,2,,,,21,21,,212,,35,72,,2/3/2016,2,22,,,
Tegederstraße,23,Do,1/7/2010,12:00,5,,,,,2,,,,,,2,,,,21,21,,641,,26,,,0,1,44,,,
Papenburger Straße,14,Do,1/7/2010,12:23,5,,,,,2,,,,,,1,1,,,41,21,,141,,49,72,,2/3/2016,2,F,,,
Meppener Straße,ggü. 22,Do,1/7/2010,13:00,5,X,,,,3,,,,,,3,,,,21,21,,703,,49,72,,0,2,57,,,
Am Juffernbach,21,Do,1/7/2010,14:00,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,1,2,F,,,
Hensenstraße,Twenteweg,Do,1/7/2010,15:01,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,2,2,F,,,
Pleistermühlenweg,ggü. Laterne 23 ???,Do,1/7/2010,15:10,5,,,,,1,,,,,,1,,,,21,,,703,,14,,,2/3/2016,0,F,,,
Kanalstraße,58,Do,1/7/2010,16:00,5,X,,,,2,,,,,,2,,,,21,21,,141,,13,72,,2,2,F,,,
Grevener Straße,Dreizehnerstraße,Do,1/7/2010,16:15,5,,,,,2,,,,,,2,,,,21,21,,121,,13,72,,2/3/2016,2,58,,,
Hammer Straße,420,Do,1/7/2010,16:15,4,,,,,2,,,,,,2,,,,21,21,,799,,36,72,,0,2,F,,,
Trauttmansdorffstraße,Höhe Bowling-Center,Do,1/7/2010,16:20,5,,,,,2,,,,,,2,,,,21,21,,799,,49,72,,2/3/2016,2,F,,,
Koburger Weg,3,Do,1/7/2010,17:13,5,,,,,2,,,,,,2,,,,21,21,,703,,14,72,,0,2,F,,,
Lindberghweg,Heumannsweg,Do,1/7/2010,17:30,3,,,,1,2,,,,,,1,,,1,21,59,,703,,49,72,,0,2,F,,,
Schifffahrter Damm,209,Do,1/7/2010,16:27,5,,,,,1,,,,,,,1,,,41,,,299,,35,,,0,1,49,,,
B 51,ab Lindberghweg - Stadtgrenze,Do,1/7/2010,13:10,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,0,2,39,,,
Wolbecker Straße,August-Schepers-Straße,Do,1/7/2010,14:47,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,0,2,52,,,
Dahlweg,82,Do,1/7/2010,17:30,5,X,,,,2,,,,,,2,,,,21,21,,702,,14,,,1/3/2016,2,37,,,
Augustastraße,,Do,1/7/2010,16:30,5,X,,,,2,,,,,,2,,,,21,21,,681,,11,,,0,1,F,,,
Weseler Straße,50m vor Welsingheide,Do,1/7/2010,14:20,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,0,0,83,,,
