Name  /  Date: 2016_11_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_08040_FV2_L (MQ129);8;6;8;9;16;94;179;240;213;175;175;173;167;162;184;184;182;149;138;77;51;34;26;20;
MQ_08050_FV3_G (MQ13);48;35;17;31;67;244;793;1431;1202;924;712;751;779;737;945;1066;1139;1000;813;503;333;265;228;103;
MQ_03140_FV4_G (MQ130);0;2;0;0;0;5;9;61;47;25;27;19;23;28;31;28;30;18;40;24;12;13;8;7;
MQ_03140_FV4_L (MQ131);1;0;0;0;2;4;40;54;56;46;45;38;39;51;53;52;50;40;44;38;27;12;7;3;
MQ_03160_FV1_G (MQ132);30;19;25;24;34;211;645;982;942;829;793;757;773;808;947;996;1071;1029;880;656;486;332;310;107;
MQ_03160_FV1_L (MQ133);13;10;5;6;9;46;288;337;315;251;206;235;216;242;256;297;309;328;255;169;119;93;91;41;
MQ_03160_FV1_R (MQ134);3;1;2;2;3;17;49;68;68;63;60;56;56;57;66;64;73;69;57;47;33;24;24;9;
MQ_03160_FV2_G (MQ135);16;16;15;10;44;90;235;380;415;369;350;334;392;404;396;536;478;438;384;260;166;102;79;45;
MQ_03160_FV2_L (MQ136);7;2;2;0;1;3;13;53;60;36;50;60;78;79;87;139;134;108;57;20;19;11;6;1;
MQ_08040_FV3_L (MQ137);34;25;15;27;43;192;445;848;723;532;438;481;514;481;614;718;814;715;573;309;220;169;118;67;
MQ_03160_FV3_G (MQ138);46;18;11;11;36;163;551;710;741;704;600;616;632;669;685;767;738;782;679;520;333;276;191;126;
MQ_08040_FV3_R (MQ139);17;5;9;10;12;40;77;102;96;131;157;173;192;168;196;274;242;241;174;121;72;58;36;18;
MQ_03070_FV1_L (MQ14);1;0;0;0;0;0;42;57;38;45;42;32;43;51;37;54;47;39;26;22;12;11;8;5;
MQ_08040_FV3_G (MQ140);31;22;14;17;40;139;465;701;659;632;553;584;552;523;602;621;592;568;487;371;264;176;144;78;
MQ_03160_FV3_L (MQ141);1;0;2;1;0;3;5;19;25;17;25;20;28;22;18;28;52;49;34;20;18;8;7;4;
MQ_03160_FV3_R (MQ142);0;0;0;0;0;1;3;4;4;4;3;3;3;4;3;4;4;4;4;3;2;1;1;1;
MQ_03160_FV4_G (MQ143);18;9;7;3;11;46;238;242;241;186;151;156;153;157;156;158;160;158;154;121;117;60;57;27;
MQ_03160_FV4_L (MQ144);34;28;18;11;29;77;296;356;366;329;325;359;364;388;399;397;423;451;404;344;255;188;173;92;
MQ_03171_FV1_G (MQ145);28;22;28;26;35;198;500;822;803;638;671;658;666;756;806;943;969;917;775;535;369;281;248;86;
MQ_08040_FV4_R (MQ146);31;16;30;11;41;193;524;935;955;510;501;482;494;519;550;559;630;667;543;384;258;181;134;61;
MQ_08040_FV4_L (MQ147);10;3;7;5;20;72;228;263;289;228;162;178;149;158;175;157;181;197;167;121;68;37;34;18;
MQ_08040_FV6_R (MQ148);0;0;1;2;1;5;17;42;34;37;27;30;29;33;32;45;34;39;40;24;17;11;13;2;
MQ_03171_FV1_L (MQ149);1;0;0;0;0;3;5;8;15;7;10;22;11;8;11;14;19;9;13;8;1;4;5;0;
MQ_03290_FV4_G (MQ15);27;15;13;10;8;21;96;140;193;205;207;209;194;194;185;221;234;201;230;183;126;101;78;51;
MQ_03171_FV3_G (MQ151);50;19;13;14;32;155;545;764;804;716;584;606;629;659;696;782;771;822;696;502;342;283;195;123;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;1;3;3;4;3;3;3;3;3;3;3;4;4;3;2;2;2;1;1;
MQ_03180_FV1_G (MQ153);41;17;12;11;26;100;327;418;447;443;388;385;436;471;485;548;521;548;497;351;268;227;190;100;
MQ_03180_FV1_L (MQ154);2;2;0;1;0;1;14;43;60;52;60;58;62;46;55;64;51;57;48;31;19;20;19;6;
MQ_03180_FV1_R (MQ155);4;2;1;1;3;9;23;27;29;29;28;27;29;32;32;35;34;37;36;25;21;19;14;7;
MQ_03180_FV2_G (MQ156);14;7;2;3;3;10;41;100;109;121;149;192;186;196;181;242;404;238;256;139;96;64;63;30;
MQ_03180_FV2_L (MQ157);2;0;0;1;0;1;4;8;16;2;24;28;25;20;30;24;27;26;18;15;9;9;4;1;
MQ_03180_FV2_R (MQ158);1;0;0;0;1;2;6;13;15;20;19;26;24;23;21;27;37;24;25;19;13;7;9;4;
MQ_03180_FV3_G (MQ159);18;11;15;18;22;129;301;479;450;426;412;421;418;443;468;484;521;496;454;314;211;169;141;49;
MQ_03290_FV4_L (MQ16);20;21;11;11;22;73;179;278;255;248;237;257;240;257;251;245;263;231;247;171;135;106;104;31;
MQ_03180_FV3_L (MQ160);10;13;9;2;10;59;181;360;373;230;259;248;249;323;365;456;458;436;327;220;160;109;96;40;
MQ_03180_FV3_R (MQ161);1;0;0;1;0;3;7;13;14;12;11;11;11;11;13;14;16;15;13;9;6;5;4;2;
