Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03140_FV1_R (MQ118);42;20;19;19;21;24;34;25;22;22;22;18;14;9;8;6;
MQ_03140_FV2_G (MQ119);2;1;1;1;1;1;2;2;3;2;1;1;0;0;0;0;
MQ_03290_FV3_G (MQ12);161;227;197;200;215;226;226;228;214;234;229;222;198;140;161;104;
MQ_03140_FV2_L (MQ120);34;14;18;18;20;26;46;44;52;31;18;15;6;3;4;5;
MQ_08040_FV1_L (MQ121);60;56;69;63;84;93;40;87;79;92;66;63;32;22;62;38;
MQ_03140_FV2_R (MQ122);53;22;29;29;32;41;72;70;82;49;29;25;10;5;6;8;
MQ_08040_FV1_G (MQ123);167;442;496;526;608;593;1000;556;562;542;469;402;306;208;230;164;
MQ_03140_FV3_G (MQ124);760;889;1001;1039;1209;1276;1240;1163;1172;1104;1004;768;508;373;297;242;
MQ_03140_FV3_L (MQ125);;14;16;13;36;29;;38;33;22;41;20;17;7;8;6;
MQ_03140_FV3_R (MQ126);15;16;15;18;21;23;26;20;21;19;19;14;10;8;6;5;
MQ_08040_FV1_R (MQ127);255;131;141;180;232;250;200;241;210;204;169;134;77;60;66;66;
MQ_08040_FV2_R (MQ128);-17;74;76;65;76;30;0;78;85;74;67;72;45;26;31;14;
MQ_08040_FV2_L (MQ129);-2;181;211;178;224;287;160;208;191;153;159;111;60;32;23;24;
MQ_08050_FV3_G (MQ13);1138;914;811;809;855;979;560;1076;977;888;727;544;349;270;203;161;
MQ_03140_FV4_G (MQ130);27;22;20;22;20;32;;45;28;21;21;16;14;5;8;7;
MQ_03140_FV4_L (MQ131);32;43;36;35;42;51;0;46;49;45;44;25;14;4;10;9;
MQ_03160_FV1_G (MQ132);1232;769;765;739;854;944;681;970;969;966;857;700;491;342;293;172;
MQ_03160_FV1_L (MQ133);259;230;229;239;255;300;240;304;296;239;247;165;138;82;82;73;
MQ_03160_FV1_R (MQ134);113;60;62;54;60;65;39;69;70;64;60;50;36;28;24;14;
MQ_03160_FV2_G (MQ135);3;333;323;359;406;431;520;349;345;357;314;248;181;129;115;99;
MQ_03160_FV2_L (MQ136);-18;33;59;50;94;98;40;37;24;45;45;31;19;13;7;5;
MQ_08040_FV3_L (MQ137);738;511;471;509;584;660;840;776;693;613;503;322;228;161;125;73;
MQ_03160_FV3_G (MQ138);-465;580;595;691;731;816;836;787;707;691;641;502;345;270;220;178;
MQ_08040_FV3_R (MQ139);151;162;194;198;176;233;80;268;235;237;191;118;92;55;37;16;
MQ_03070_FV1_L (MQ14);80;35;43;31;32;29;40;38;27;19;32;17;13;12;5;4;
MQ_08040_FV3_G (MQ140);782;657;636;576;552;647;520;602;605;583;496;435;319;192;124;104;
MQ_03160_FV3_L (MQ141);-68;24;16;19;25;29;80;27;32;31;43;21;14;18;8;3;
MQ_03160_FV3_R (MQ142);0;3;3;4;4;4;4;4;4;4;3;3;2;1;1;1;
