Name  /  Date: 2016_05_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03050_FV3_L (MQ229);1;0;0;0;2;18;41;87;83;76;52;40;54;50;48;33;44;40;22;23;16;8;6;3;
MQ_03050_FV3_R (MQ230);2;1;0;1;0;4;30;92;106;69;79;49;39;51;50;60;74;66;80;45;35;17;11;8;
MQ_03050_FV4_G (MQ231);4;2;2;6;7;10;39;103;126;111;82;91;126;94;114;161;161;127;117;93;54;30;19;12;
MQ_03050_FV4_L (MQ232);1;1;2;2;2;2;20;48;52;70;47;75;77;56;75;129;111;105;73;54;42;25;16;4;
MQ_03060_FV1_G (MQ233);52;19;16;14;49;194;688;1461;1374;1026;866;851;862;896;973;1097;1179;1089;866;660;398;303;243;91;
MQ_08060_FV4_R (MQ234);18;12;4;7;8;20;48;155;151;122;168;198;183;213;231;276;373;380;259;166;116;77;71;
MQ_08060_FV4_G (MQ235);6;1;2;11;10;18;44;174;118;85;84;98;172;125;120;153;193;207;132;81;70;36;33;
MQ_03060_FV2_G (MQ236);57;27;13;19;47;138;435;846;890;824;719;786;896;857;858;1147;1272;1200;977;678;503;326;251;101;
MQ_08060_FV4_L (MQ237);4;0;0;2;8;11;25;54;51;64;55;49;81;58;66;69;91;82;47;26;19;16;19;
MQ_03130_FV1_G (MQ238);57;22;13;32;34;195;724;1202;1061;814;786;734;763;898;860;911;1053;1100;962;782;468;353;248;115;
MQ_03130_FV1_L (MQ239);2;2;1;3;2;10;51;97;92;64;53;54;43;64;55;51;46;60;39;34;24;7;10;2;
MQ_08020_FV1_L (MQ24);48;14;8;18;45;49;120;185;153;126;151;142;154;138;170;156;181;129;123;140;119;83;85;
MQ_03130_FV1_R (MQ240);5;2;1;2;4;16;52;90;82;59;56;57;60;63;67;65;76;76;74;58;36;30;22;10;
MQ_03130_FV2_G (MQ241);1;0;0;0;1;2;11;26;22;18;17;20;25;23;26;33;33;24;20;14;13;17;16;1;
MQ_03130_FV2_L (MQ242);2;0;0;1;1;4;17;40;34;27;26;32;39;36;40;51;51;37;31;22;20;26;24;2;
MQ_03130_FV2_R (MQ243);0;0;0;0;0;1;4;10;8;7;6;8;10;9;10;13;13;9;8;5;5;6;6;1;
