Name  /  Date: 2016_11_11;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03171_FV1_L (MQ149);1;2;0;0;1;4;8;15;9;11;9;16;15;7;;14;11;14;1;8;2;3;2;
MQ_03290_FV4_G (MQ15);23;14;8;8;10;38;81;168;205;196;204;197;222;218;;181;211;221;151;126;114;87;93;
MQ_03171_FV3_G (MQ151);42;33;32;18;43;167;542;795;739;591;607;617;692;810;859;730;710;661;451;345;261;213;183;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;1;3;3;4;3;3;3;3;4;4;3;3;3;2;2;1;1;1;
MQ_03180_FV1_G (MQ153);32;27;22;12;29;110;336;438;455;369;388;451;514;549;544;504;494;476;340;245;198;171;138;
MQ_03180_FV1_L (MQ154);2;2;0;1;2;1;23;35;54;33;45;71;51;62;74;63;50;39;30;18;15;24;9;
MQ_03180_FV1_R (MQ155);3;3;2;1;2;10;23;26;32;26;28;32;35;36;38;34;33;33;25;19;15;14;11;
MQ_03180_FV2_G (MQ156);13;11;3;1;5;10;50;98;148;165;151;207;248;282;290;207;207;211;135;92;69;52;42;
MQ_03180_FV2_L (MQ157);1;1;0;1;1;3;7;10;13;17;28;15;33;33;57;23;24;24;12;17;5;8;8;
MQ_03180_FV2_R (MQ158);1;1;0;0;1;2;7;10;16;15;17;24;28;33;33;23;24;27;17;13;8;6;6;
MQ_03180_FV3_G (MQ159);35;19;11;12;28;136;295;484;456;385;453;427;465;479;633;438;484;423;322;233;165;144;100;
MQ_03290_FV4_L (MQ16);22;11;22;12;23;70;169;245;244;238;233;249;260;262;;252;236;264;214;135;107;112;83;
MQ_03180_FV3_L (MQ160);12;9;3;5;8;52;182;344;319;221;248;293;322;420;433;342;315;319;230;163;122;77;61;
MQ_03180_FV3_R (MQ161);1;1;0;0;1;4;8;13;12;10;12;11;13;14;13;13;14;12;8;7;4;4;3;
MQ_03180_FV4_G (MQ162);8;3;1;1;1;15;68;223;171;124;118;110;131;162;137;131;122;93;76;55;34;26;32;
MQ_08041_FV1_G (MQ163);71;50;71;59;53;132;302;554;543;528;578;557;697;728;;628;601;529;432;378;333;367;268;
MQ_03180_FV4_L (MQ164);4;2;1;1;3;11;42;45;55;41;58;43;48;45;39;48;57;58;55;29;35;27;16;
MQ_08041_FV1_L (MQ165);22;6;13;0;6;11;17;22;30;55;48;57;44;80;;59;54;46;44;15;22;23;13;
MQ_08041_FV1_R (MQ166);2;1;0;4;2;3;17;22;32;19;17;23;24;32;;28;24;27;13;12;15;10;8;
MQ_03180_FV4_R (MQ167);15;11;7;6;12;60;231;377;324;241;245;215;245;292;301;280;270;233;142;110;75;69;50;
MQ_03021_FV1_G (MQ168);41;29;23;17;43;149;502;934;918;699;652;637;715;806;817;773;663;684;457;308;205;157;129;
MQ_08041_FV2_L (MQ169);8;4;16;5;6;7;10;53;65;75;120;145;149;159;;184;198;117;91;34;13;22;3;
MQ_03070_FV1_R (MQ17);310;21;102;114;75;38;537;116;468;272;311;374;397;320;312;180;;;310;;;;;
MQ_05010_FV1_L (MQ170);22;27;8;16;39;113;312;616;537;403;347;357;410;395;421;359;358;372;248;185;111;102;82;
MQ_05010_FV1_R (MQ171);0;2;0;0;3;16;122;191;190;54;42;38;49;36;57;34;20;23;8;6;3;4;2;
MQ_08041_FV3_G (MQ172);59;36;62;58;65;223;656;962;846;721;615;630;653;638;;701;691;597;561;369;249;227;169;
MQ_05010_FV2_G (MQ173);37;18;9;10;24;83;578;506;483;325;294;308;292;317;322;274;261;261;200;157;125;110;82;
MQ_08041_FV3_L (MQ174);2;0;1;0;0;9;37;28;39;25;21;23;29;32;;43;16;32;6;7;10;4;2;
MQ_08041_FV3_R (MQ175);5;5;8;3;14;38;73;128;112;94;145;152;165;177;;172;145;92;57;17;13;12;2;
MQ_05010_FV2_R (MQ176);35;17;10;9;21;56;168;222;213;255;246;306;345;374;362;380;334;340;279;203;157;128;94;
MQ_03021_FV3_G (MQ177);44;31;17;19;29;114;502;1051;924;640;668;766;968;1014;1184;1012;758;666;451;288;343;226;162;
MQ_08041_FV4_L (MQ178);0;1;0;0;0;0;4;6;14;5;13;12;8;25;;20;10;3;6;2;6;4;1;
MQ_05010_FV3_G (MQ179);2;8;1;3;5;23;54;142;199;172;202;249;453;389;476;343;263;143;90;44;12;24;11;
MQ_03070_FV2_G (MQ18);25;14;13;5;6;25;70;173;193;137;135;169;211;221;251;193;197;174;153;126;92;85;72;
MQ_03020_FV3_L (MQ180);1;0;1;0;2;2;6;44;30;32;;
MQ_05010_FV3_L (MQ181);1;1;0;0;0;7;10;14;15;31;32;49;73;92;103;61;48;38;21;5;5;8;4;
MQ_16130_FV1_G (MQ182);2;0;3;1;2;8;35;51;66;36;29;33;59;63;67;46;27;26;18;15;10;7;2;
MQ_03020_FV3_G (MQ183);27;21;13;8;32;110;350;587;561;492;;
MQ_16130_FV1_L (MQ184);5;1;3;3;1;7;28;81;69;72;63;97;74;90;142;69;58;58;41;27;19;16;10;
MQ_16130_FV1_R (MQ185);2;1;0;0;1;1;4;18;16;23;22;19;20;33;24;26;13;20;14;7;4;1;1;
MQ_16130_FV2_G (MQ186);35;18;14;4;11;33;104;265;290;247;258;280;343;360;427;355;361;324;282;199;156;132;109;
MQ_16130_FV2_L (MQ187);16;19;10;9;35;77;147;250;286;269;273;256;278;280;307;242;208;194;164;137;73;67;66;
MQ_16130_FV2_R (MQ188);4;3;1;4;2;3;35;73;83;56;59;48;54;60;55;29;31;74;18;14;10;9;8;
MQ_16130_FV3_G (MQ189);3;1;2;3;1;7;70;108;119;51;39;55;68;78;114;56;36;37;28;15;17;6;4;
MQ_03290_FV5_R (MQ19);9;5;2;1;3;8;29;116;102;70;62;70;103;107;;97;85;77;61;40;27;68;44;
MQ_16130_FV3_L (MQ190);0;0;1;0;1;0;7;7;13;21;24;17;21;25;8;24;9;10;7;6;6;1;3;
MQ_16130_FV3_R (MQ191);16;10;10;13;14;46;157;237;217;237;241;290;312;344;386;280;276;224;212;126;121;61;42;
MQ_16130_FV4_G (MQ192);14;17;9;7;20;77;237;441;398;359;309;300;320;367;398;331;334;316;252;175;148;122;85;
MQ_16130_FV4_L (MQ193);0;0;0;0;0;3;7;37;36;27;14;21;22;35;78;8;17;21;3;5;1;2;3;
MQ_16130_FV4_R (MQ194);1;0;0;0;1;8;11;17;24;26;24;23;31;8;;17;10;8;2;2;0;2;0;
MQ_03040_FV1_G (MQ195);35;21;14;12;24;103;464;962;830;558;574;655;812;885;983;874;665;589;392;253;227;162;140;
MQ_03040_FV1_L (MQ196);0;0;1;1;3;2;27;63;72;32;31;22;30;42;26;11;9;12;11;4;2;1;0;
MQ_03040_FV1_R (MQ197);1;0;0;0;0;1;8;17;23;15;5;7;4;12;;;;;;;;;;
MQ_03040_FV2_G (MQ198);1;1;0;1;1;3;4;19;22;16;20;25;38;46;30;30;25;15;10;4;5;6;2;
MQ_03040_FV2_L (MQ199);1;1;0;1;1;3;4;19;22;16;20;25;38;46;30;30;25;15;10;4;5;6;2;
MQ_03070_FV1_G (MQ2);24;9;9;8;12;96;395;749;684;404;347;400;462;492;504;487;369;356;228;129;113;77;75;
MQ_03070_FV2_L (MQ20);4;1;0;1;0;15;48;86;83;51;61;76;77;68;120;76;54;44;25;28;16;13;9;
MQ_08054_FV1_R (MQ200);3;2;0;1;4;30;156;308;240;141;86;78;87;83;70;77;148;42;16;16;7;8;10;
MQ_08054_FV1_G (MQ201);74;35;31;13;37;117;395;751;679;645;758;822;1024;1230;1090;1186;1062;915;738;544;407;330;250;
MQ_03040_FV2_R (MQ202);1;1;0;1;1;3;4;19;22;16;20;25;38;46;30;30;25;15;10;4;5;6;2;
MQ_08054_FV2_R (MQ203);0;0;0;0;0;1;3;13;11;12;14;20;57;43;27;20;24;11;3;12;10;1;1;
MQ_08054_FV2_L (MQ204);5;2;1;0;0;5;10;47;55;57;74;78;164;155;130;111;85;37;13;113;58;5;10;
MQ_03040_FV3_G (MQ205);34;19;19;13;36;125;469;900;810;635;588;575;697;740;792;716;626;615;402;262;230;156;112;
MQ_03040_FV3_L (MQ206);0;1;0;0;1;0;9;24;21;11;8;5;13;3;;13;7;10;2;5;4;2;1;
MQ_03040_FV3_R (MQ207);2;1;1;0;2;5;20;38;36;28;26;25;30;35;36;30;28;26;19;12;11;10;7;
MQ_08054_FV3_G (MQ208);48;34;26;24;74;289;890;1502;1221;928;828;844;876;913;950;984;862;698;513;345;240;182;177;
MQ_08054_FV3_L (MQ209);0;0;0;0;1;6;32;57;62;24;18;15;9;17;;12;13;20;;;;;;
MQ_03020_FV4_G (MQ21);8;3;6;3;3;14;52;218;183;118;;
MQ_08060_FV1_R (MQ210);5;2;0;0;0;4;19;52;54;52;81;57;68;60;61;52;33;35;27;20;16;13;13;
MQ_03040_FV4_G (MQ211);0;0;0;0;0;1;7;12;13;7;9;10;15;17;18;12;3;7;4;2;4;1;1;
MQ_08060_FV1_G (MQ212);60;28;26;10;20;80;303;465;461;492;562;647;822;1002;1209;991;904;888;623;485;361;292;220;
MQ_03040_FV4_L (MQ213);0;0;0;0;0;1;7;12;13;7;9;10;15;17;18;12;3;7;4;2;4;1;1;
MQ_08060_FV1_L (MQ214);5;1;2;1;5;16;26;153;118;80;88;100;146;163;164;122;124;97;72;34;32;19;7;
MQ_03040_FV4_R (MQ215);0;0;0;0;0;1;7;12;13;7;9;10;15;17;18;12;3;7;4;2;4;1;1;
MQ_03050_FV1_G (MQ216);37;21;13;15;25;132;557;1099;966;615;608;663;823;871;1005;851;652;597;402;267;223;155;134;
MQ_03050_FV1_L (MQ217);5;6;1;5;2;28;130;304;308;226;149;179;173;180;169;168;152;134;110;71;47;33;22;
MQ_02010_FV3_L (MQ218);1;0;0;0;1;2;6;13;11;9;11;10;14;14;;;;11;11;8;5;4;3;
MQ_08060_FV2_G (MQ219);3;3;4;3;9;27;79;117;135;96;104;113;124;134;122;129;110;79;51;27;23;18;14;
MQ_03020_FV4_R (MQ22);3;1;2;1;1;5;17;73;61;39;;
MQ_08060_FV2_L (MQ220);16;11;7;7;12;23;54;96;129;96;85;114;129;145;103;170;126;113;106;57;96;89;49;
MQ_03050_FV1_R (MQ221);2;0;1;0;0;21;57;127;108;83;83;71;88;68;76;70;55;33;34;34;16;9;4;
MQ_03050_FV2_G (MQ222);16;9;6;2;7;13;82;194;187;171;186;236;287;316;303;301;278;242;221;152;96;85;81;
MQ_03050_FV2_L (MQ223);15;11;9;3;9;12;71;168;165;144;163;218;261;288;251;266;236;220;189;130;88;80;75;
MQ_08060_FV3_R (MQ224);2;2;1;2;6;13;51;174;120;70;78;95;116;90;109;85;76;73;52;26;29;17;24;
MQ_08060_FV3_G (MQ225);41;26;18;21;67;261;825;1372;1088;797;669;673;698;732;859;772;697;625;434;300;203;154;155;
MQ_03050_FV2_R (MQ226);12;7;4;2;5;8;44;96;121;99;126;131;175;175;200;182;167;150;135;90;55;47;50;
MQ_08060_FV3_L (MQ227);5;6;2;4;17;67;179;394;277;179;196;180;218;215;270;183;160;135;87;55;43;32;31;
MQ_03050_FV3_G (MQ228);35;16;18;10;32;98;363;660;623;492;499;497;657;727;732;694;587;565;368;249;212;144;104;
MQ_03050_FV3_L (MQ229);0;2;1;2;5;25;61;91;75;62;53;40;58;45;44;29;28;31;23;12;10;11;8;
MQ_03020_FV3_R (MQ23);2;1;1;0;2;3;13;19;22;22;;
MQ_03050_FV3_R (MQ230);2;2;2;0;0;4;27;88;96;80;56;49;48;64;64;44;57;45;36;17;20;21;8;
MQ_03050_FV4_G (MQ231);1;4;0;0;6;13;43;103;91;99;106;108;124;109;123;136;98;102;76;40;35;18;22;
MQ_03050_FV4_L (MQ232);1;2;0;0;2;6;18;61;40;66;60;72;89;80;111;104;75;72;34;22;18;5;10;
MQ_03060_FV1_G (MQ233);1166;1043;848;764;501;364;287;199;157;
MQ_08060_FV4_R (MQ234);19;12;2;6;8;14;42;147;155;134;163;189;249;315;461;318;279;204;124;90;49;64;52;
MQ_08060_FV4_G (MQ235);7;4;0;4;5;21;68;138;120;91;108;123;142;212;419;360;156;217;158;113;66;107;65;
MQ_03060_FV2_G (MQ236);1090;1073;904;863;610;401;318;193;186;
MQ_08060_FV4_L (MQ237);6;2;1;6;4;11;29;57;58;62;68;60;58;50;105;70;65;80;34;19;14;38;10;
