Name  /  Date: 2015_05_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03040_FV3_G (MQ205);251;166;86;65;
MQ_03040_FV3_L (MQ206);;;;;
MQ_03040_FV3_R (MQ207);12;10;5;4;
MQ_08054_FV3_G (MQ208);147;198;143;74;
MQ_08054_FV3_L (MQ209);;;;;
MQ_03020_FV4_G (MQ21);50;27;20;17;
MQ_08060_FV1_R (MQ210);;27;10;5;
MQ_03040_FV4_G (MQ211);13;3;1;0;
MQ_08060_FV1_G (MQ212);286;226;176;105;
MQ_03040_FV4_L (MQ213);13;3;1;0;
MQ_08060_FV1_L (MQ214);;8;8;1;
MQ_03040_FV4_R (MQ215);13;3;1;0;
MQ_03050_FV1_G (MQ216);166;229;112;51;
MQ_03050_FV1_L (MQ217);48;34;18;17;
MQ_02010_FV3_L (MQ218);5;4;3;2;
MQ_08060_FV2_G (MQ219);0;15;11;3;
MQ_03020_FV4_R (MQ22);17;9;7;6;
MQ_08060_FV2_L (MQ220);;;;;
MQ_03050_FV1_R (MQ221);;29;7;5;
MQ_03050_FV2_G (MQ222);80;64;38;22;
MQ_03050_FV2_L (MQ223);40;15;7;4;
MQ_08060_FV3_R (MQ224);11;19;14;6;
MQ_08060_FV3_G (MQ225);181;177;119;70;
MQ_03050_FV2_R (MQ226);40;58;23;18;
MQ_08060_FV3_L (MQ227);45;42;31;14;
MQ_03050_FV3_G (MQ228);234;165;72;66;
MQ_03050_FV3_L (MQ229);80;4;6;4;
MQ_03020_FV3_R (MQ23);7;7;5;3;
MQ_03050_FV3_R (MQ230);;;;;
MQ_03050_FV4_G (MQ231);60;35;11;5;
MQ_03050_FV4_L (MQ232);;20;6;3;
MQ_03060_FV1_G (MQ233);249;270;148;70;
MQ_08060_FV4_R (MQ234);108;65;29;39;
MQ_08060_FV4_G (MQ235);25;26;27;20;
MQ_03060_FV2_G (MQ236);261;257;107;94;
MQ_08060_FV4_L (MQ237);;13;61;1;
MQ_03130_FV1_G (MQ238);;
MQ_03130_FV1_L (MQ239);;
MQ_08020_FV1_L (MQ24);22;68;47;31;
MQ_03130_FV1_R (MQ240);;
MQ_03130_FV2_G (MQ241);;
MQ_03130_FV2_L (MQ242);;
MQ_03130_FV2_R (MQ243);;
MQ_06160_FV1_R (MQ244);4;5;4;1;
MQ_03130_FV3_G (MQ245);;
MQ_03130_FV3_L (MQ246);;
MQ_03130_FV3_R (MQ247);;
MQ_03130_FV4_G (MQ248);;
MQ_03130_FV4_L (MQ249);;
MQ_08020_FV1_G (MQ25);230;259;216;129;
MQ_03130_FV4_R (MQ250);;
MQ_03150_FV1_G (MQ251);308;300;218;107;
MQ_06161_FV1_R (MQ252);86;90;44;17;
MQ_08070_FV1_G (MQ253);;;;;
MQ_03150_FV1_L (MQ254);;21;13;5;
MQ_03150_FV1_R (MQ255);6;9;8;4;
MQ_08070_FV2_R (MQ256);;;;;
MQ_08070_FV2_L (MQ257);;;;;
MQ_03150_FV2_G (MQ258);112;82;15;113;
MQ_03150_FV2_L (MQ259);85;95;286;204;
MQ_08052_FV1_G (MQ26);183;236;187;113;
MQ_08070_FV3_G (MQ260);188;228;150;88;
MQ_03150_FV2_R (MQ261);48;35;7;48;
MQ_08070_FV3_L (MQ262);0;6;5;3;
MQ_03150_FV3_G (MQ263);146;176;113;74;
MQ_03150_FV3_L (MQ264);289;217;156;99;
MQ_03150_FV3_R (MQ265);12;9;5;3;
MQ_08080_FV1_G (MQ266);415;275;198;140;
MQ_08080_FV1_R (MQ267);2;1;1;1;
MQ_08080_FV1_L (MQ268);23;27;17;10;
MQ_06161_FV2_R (MQ269);58;71;33;13;
MQ_08020_FV2_R (MQ27);34;15;17;6;
MQ_06161_FV2_L (MQ270);144;151;97;39;
MQ_03150_FV4_G (MQ271);24;29;21;11;
MQ_08080_FV2_R (MQ272);25;16;9;5;
MQ_08080_FV2_L (MQ273);7;4;2;1;
MQ_08080_FV2_G (MQ274);2;1;1;0;
MQ_08080_FV3_R (MQ275);6;9;8;4;
MQ_08080_FV3_G (MQ276);168;218;147;88;
MQ_03150_FV4_L (MQ277);40;49;22;20;
MQ_08080_FV3_L (MQ278);;10;3;1;
MQ_03150_FV4_R (MQ279);21;26;20;10;
MQ_08020_FV2_L (MQ28);73;46;50;21;
MQ_03170_FV1_G (MQ280);187;224;146;70;
MQ_06161_FV3_G (MQ281);106;99;39;26;
MQ_08080_FV4_G (MQ282);5;5;2;2;
MQ_08080_FV4_R (MQ283);;2;1;1;
MQ_08080_FV4_L (MQ284);12;11;5;4;
MQ_03170_FV1_L (MQ285);;33;25;22;
MQ_03170_FV1_R (MQ286);5;8;6;3;
MQ_06161_FV1_L (MQ287);46;50;19;18;
MQ_03170_FV2_G (MQ288);26;23;13;8;
MQ_03170_FV2_L (MQ289);19;33;21;16;
MQ_08052_FV1_R (MQ29);;;;;
MQ_03170_FV2_R (MQ290);26;23;12;7;
MQ_03170_FV3_G (MQ291);275;203;217;169;
MQ_03170_FV3_L (MQ292);;;4;5;
MQ_08090_FV1_G (MQ293);290;208;141;112;
MQ_03170_FV3_R (MQ294);19;12;10;6;
MQ_03170_FV4_G (MQ295);42;44;32;16;
MQ_03170_FV4_L (MQ296);33;47;36;16;
MQ_08090_FV1_L (MQ297);134;74;59;29;
MQ_03170_FV4_R (MQ298);3;3;3;1;
MQ_08090_FV2_R (MQ299);74;76;40;17;
MQ_03290_FV12_G (MQ3);120;91;84;36;
MQ_06160_FV2_G (MQ30);7;9;5;3;
MQ_08090_FV2_L (MQ300);;16;11;1;
MQ_08063_FV1_G (MQ301);25;25;17;24;
MQ_08063_FV1_L (MQ302);;16;2;5;
MQ_08090_FV3_G (MQ303);134;126;99;69;
MQ_08063_FV2_L (MQ304);20;27;19;10;
MQ_08063_FV2_R (MQ305);2;3;2;1;
MQ_08063_FV3_G (MQ306);132;75;43;23;
MQ_08090_FV3_R (MQ307);27;14;16;7;
MQ_08063_FV3_R (MQ308);42;23;14;8;
MQ_08062_FV1_G (MQ309);107;66;42;32;
MQ_08020_FV3_G (MQ31);300;228;213;97;
MQ_08062_FV1_L (MQ310);0;4;3;1;
MQ_08062_FV2_L (MQ311);18;26;17;11;
MQ_08062_FV2_R (MQ312);14;20;13;9;
MQ_08062_FV3_G (MQ313);43;63;37;111;
MQ_08062_FV3_R (MQ314);43;63;37;111;
MQ_08061_FV1_G (MQ315);;
MQ_08100_FV1_R (MQ316);;;;;
MQ_08100_FV1_G (MQ317);281;220;158;114;
MQ_08061_FV1_L (MQ318);;
MQ_08061_FV1_R (MQ319);;
MQ_08052_FV2_R (MQ32);;;;4;
MQ_08061_FV2_G (MQ320);;
MQ_08061_FV2_L (MQ321);;
MQ_06170_FV1_G (MQ322);157;174;126;55;
MQ_08100_FV3_G (MQ323);137;134;92;56;
MQ_08061_FV2_R (MQ324);;
MQ_08100_FV3_L (MQ325);;;;;
MQ_08061_FV3_L (MQ327);;
MQ_08061_FV3_R (MQ328);;
MQ_08061_FV4_G (MQ329);;
MQ_08052_FV2_L (MQ33);;;4;3;
MQ_08061_FV4_L (MQ330);;
MQ_08061_FV4_R (MQ331);;
MQ_08065_FV1_G (MQ332);91;82;58;30;
MQ_08110_FV1_G (MQ333);261;203;154;108;
MQ_08065_FV2_L (MQ334);;1;0;2;
MQ_08110_FV1_L (MQ335);10;19;8;9;
MQ_08065_FV2_R (MQ336);;3;9;4;
MQ_08065_FV3_L (MQ337);6;1;1;0;
MQ_08065_FV4_G (MQ338);176;136;67;47;
MQ_06170_FV2_R (MQ339);24;20;7;7;
MQ_08052_FV3_G (MQ34);150;194;139;66;
MQ_08110_FV3_R (MQ341);;9;3;2;
MQ_08110_FV3_G (MQ342);181;139;116;76;
MQ_08052_FV3_L (MQ35);;;;;
MQ_08120_FV1_R (MQ350);17;3;28;24;
MQ_08120_FV1_G (MQ351);337;303;225;130;
MQ_08120_FV1_L (MQ352);-2;17;12;7;
MQ_08120_FV2_G (MQ354);9;4;1;2;
MQ_08120_FV2_R (MQ355);33;7;10;9;
MQ_08120_FV2_L (MQ356);38;18;6;6;
MQ_06170_FV3_G (MQ357);243;198;134;60;
MQ_06170_FV5_G (MQ358);225;196;134;64;
MQ_08120_FV3_G (MQ359);133;239;176;114;
MQ_03020_FV1L (MQ36);40;24;14;5;
MQ_08120_FV3_R (MQ360);5;12;9;6;
MQ_06170_FV5_R (MQ361);8;8;6;3;
MQ_08120_FV4_G (MQ362);;0;0;0;
MQ_08120_FV4_R (MQ363);;1;2;1;
MQ_08120_FV4_L (MQ364);;1;2;1;
MQ_01090_16_DRad3 (MQ365);73;110;132;97;
MQ_01090_15_DRad1 (MQ368);86;71;78;46;
MQ_03023_FV2_G (MQ37);109;142;102;59;
MQ_08130_FV1_R (MQ371);26;26;23;20;
MQ_08130_FV1_G (MQ372);265;179;136;89;
MQ_06170_FV6_R (MQ374);41;14;12;7;
MQ_08130_FV3_G (MQ375);150;140;96;66;
MQ_08130_FV3_L (MQ377);10;8;8;4;
MQ_08053_FV1_G (MQ38);239;241;186;110;
MQ_08140_FV1_G (MQ385);126;133;100;62;
MQ_08140_FV2_G (MQ386);270;185;137;88;
MQ_08053_FV1_R (MQ39);;;;;
MQ_29100_FV1_G (MQ392);141;127;95;65;
MQ_29100_FV2_G (MQ393);251;157;121;80;
MQ_29110_FV1_G (MQ398);156;126;97;64;
MQ_29110_FV2_G (MQ399);252;158;120;75;
MQ_03290_FV12_L (MQ4);147;91;90;42;
MQ_08053_FV2_R (MQ40);;2;0;0;
MQ_29120_FV1_G (MQ402);187;129;99;63;
MQ_29120_FV1_L (MQ403);41;28;22;14;
MQ_29120_FV2_R (MQ404);26;24;17;12;
MQ_29120_FV2_L (MQ405);14;13;9;6;
MQ_29120_FV3_G (MQ406);143;103;79;50;
MQ_06160_FV1_L (MQ407);94;60;32;24;
MQ_29120_FV3_R (MQ408);6;4;3;2;
MQ_08053_FV2_L (MQ41);;6;2;2;
MQ_08053_FV3_G (MQ42);157;190;139;67;
MQ_08053_FV3_L (MQ43);10;6;0;4;
MQ_03290_FV12_R (MQ432);80;60;56;24;
MQ_03290_FV3_R (MQ433);9;8;7;4;
MQ_03290_FV3_L (MQ434);120;32;42;22;
MQ_03290_FV4_R (MQ435);9;8;5;2;
MQ_08020_FV3_R (MQ436);100;94;67;38;
MQ_08030_FV2_R (MQ437);;
MQ_08031_FV2_G (MQ438);;
MQ_08031_FV2_R (MQ439);;
MQ_06160_FV1_G (MQ44);83;81;80;25;
MQ_08031_FV4_G (MQ440);;
MQ_08031_FV4_R (MQ441);;
MQ_08032_FV2_R (MQ442);;1;4;0;
MQ_08032_FV2_L (MQ443);;1;2;0;
MQ_08041_FV2_G (MQ444);6;0;1;1;
MQ_08041_FV2_R (MQ445);34;3;8;3;
MQ_08041_FV4_G (MQ446);1;1;1;0;
MQ_08041_FV4_R (MQ447);5;6;7;4;
MQ_08060_FV2_R (MQ448);;;;;
MQ_08070_FV1_R (MQ449);;;;;
MQ_03070_FV2_R (MQ45);;
MQ_08100_FV2_R (MQ450);;;;;
MQ_08100_FV2_L (MQ451);;;;;
MQ_08110_FV2_R (MQ452);24;26;5;4;
MQ_08110_FV2_L (MQ453);14;15;3;2;
