Name  /  Date: 2016_05_19;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_16130_FV1_R (MQ185);;
MQ_16130_FV2_G (MQ186);;
MQ_16130_FV2_L (MQ187);;
MQ_16130_FV2_R (MQ188);;
MQ_16130_FV3_G (MQ189);;
MQ_03290_FV5_R (MQ19);12;3;4;4;2;9;27;84;69;71;56;61;68;57;62;
MQ_16130_FV3_L (MQ190);;
MQ_16130_FV3_R (MQ191);;
MQ_16130_FV4_G (MQ192);;
MQ_16130_FV4_L (MQ193);;
MQ_16130_FV4_R (MQ194);;
MQ_03040_FV1_G (MQ195);35;14;11;18;31;127;433;933;880;607;551;602;602;675;795;
MQ_03040_FV1_L (MQ196);0;0;0;0;2;1;25;52;64;35;33;26;17;32;26;
MQ_03040_FV1_R (MQ197);0;0;0;1;0;0;10;20;29;22;10;3;9;7;13;
MQ_03040_FV2_G (MQ198);1;0;0;0;1;1;5;16;17;17;16;21;28;27;29;
MQ_03040_FV2_L (MQ199);1;0;0;0;1;1;5;16;17;17;16;21;28;27;29;
MQ_03070_FV1_G (MQ2);23;7;7;8;26;103;354;732;711;441;371;322;385;387;421;
MQ_03070_FV2_L (MQ20);1;0;1;1;1;11;40;85;67;53;54;54;49;57;55;
MQ_08054_FV1_R (MQ200);4;3;1;2;2;41;173;288;230;125;76;84;98;95;67;
MQ_08054_FV1_G (MQ201);75;35;33;24;44;126;411;669;645;556;623;718;831;857;842;
MQ_03040_FV2_R (MQ202);1;0;0;0;1;1;5;16;17;17;16;21;28;27;29;
MQ_08054_FV2_R (MQ203);1;0;1;0;1;1;3;12;15;15;13;14;21;23;25;
MQ_08054_FV2_L (MQ204);2;1;0;1;0;5;9;46;65;65;86;56;115;116;90;
MQ_03040_FV3_G (MQ205);40;24;18;8;40;115;431;860;877;621;566;513;549;625;650;
MQ_03040_FV3_L (MQ206);1;0;0;1;0;1;9;21;30;10;10;8;11;12;5;
MQ_03040_FV3_R (MQ207);3;1;1;1;2;5;19;37;37;26;26;25;25;29;28;
MQ_08054_FV3_G (MQ208);54;32;25;24;84;271;913;1496;1233;932;764;733;693;714;720;
MQ_08054_FV3_L (MQ209);0;0;0;0;0;6;33;68;44;18;12;17;19;15;12;
MQ_03020_FV4_G (MQ21);;
MQ_08060_FV1_R (MQ210);3;1;1;0;4;3;24;39;47;45;48;64;63;44;53;
MQ_03040_FV4_G (MQ211);0;0;0;0;1;2;5;16;10;13;9;13;13;23;8;
MQ_08060_FV1_G (MQ212);68;32;28;21;29;78;298;466;432;396;482;553;647;673;692;
MQ_03040_FV4_L (MQ213);0;0;0;0;1;2;5;16;10;13;9;13;13;23;8;
MQ_08060_FV1_L (MQ214);2;1;2;0;5;13;35;130;112;82;76;78;119;112;100;
MQ_03040_FV4_R (MQ215);0;0;0;0;1;2;5;16;10;13;9;13;13;23;8;
MQ_03050_FV1_G (MQ216);44;13;13;16;32;148;505;1062;998;705;600;615;629;700;759;
MQ_03050_FV1_L (MQ217);9;2;2;2;5;29;133;284;304;205;167;139;158;182;148;
MQ_02010_FV3_L (MQ218);2;1;0;1;1;2;6;13;11;9;10;9;11;11;12;
MQ_08060_FV2_G (MQ219);3;2;3;1;5;26;80;111;112;104;92;96;105;92;96;
MQ_03020_FV4_R (MQ22);;
MQ_08060_FV2_L (MQ220);8;11;9;9;9;27;45;90;104;91;77;96;102;85;150;
MQ_03050_FV1_R (MQ221);4;0;1;1;0;19;49;134;101;99;102;52;85;67;62;
MQ_03050_FV2_G (MQ222);13;10;6;3;10;30;65;154;158;127;119;167;190;199;194;
MQ_03050_FV2_L (MQ223);2;0;0;4;2;6;23;59;63;45;50;58;90;81;95;
MQ_08060_FV3_R (MQ224);3;3;2;2;3;18;41;155;144;88;73;64;77;91;92;
MQ_08060_FV3_G (MQ225);41;26;16;21;69;246;839;1368;1111;803;618;609;576;574;610;
MQ_03050_FV2_R (MQ226);11;10;2;1;10;20;41;105;144;117;137;169;182;183;208;
MQ_08060_FV3_L (MQ227);10;3;4;3;11;74;171;350;288;169;179;156;174;188;151;
MQ_03050_FV3_G (MQ228);29;26;18;8;34;89;333;622;663;511;469;450;499;554;575;
MQ_03050_FV3_L (MQ229);2;2;1;0;2;19;59;79;78;62;53;39;48;45;49;
MQ_03020_FV3_R (MQ23);;
MQ_03050_FV3_R (MQ230);5;2;1;0;0;5;22;91;102;68;60;61;42;58;57;
MQ_03050_FV4_G (MQ231);2;7;1;2;2;14;45;103;113;104;91;99;114;106;117;
MQ_03050_FV4_L (MQ232);1;4;1;1;0;6;25;52;42;62;63;68;77;69;87;
MQ_03060_FV1_G (MQ233);57;23;19;20;43;185;658;1420;1377;962;842;792;851;939;953;
MQ_08060_FV4_R (MQ234);14;9;2;8;5;20;49;128;142;126;164;191;196;227;209;
MQ_08060_FV4_G (MQ235);3;13;1;3;5;17;41;155;136;92;82;99;94;132;114;
MQ_03060_FV2_G (MQ236);49;51;24;10;56;129;418;802;916;743;710;729;812;849;907;
MQ_08060_FV4_L (MQ237);5;1;5;0;6;11;33;67;43;47;55;54;49;58;49;
MQ_03130_FV1_G (MQ238);55;20;14;21;35;178;659;1205;1020;810;737;681;761;804;876;
MQ_03130_FV1_L (MQ239);2;1;0;1;1;9;51;90;85;50;40;43;48;51;41;
MQ_08020_FV1_L (MQ24);30;24;28;28;33;49;77;116;116;152;122;137;125;112;110;
MQ_03130_FV1_R (MQ240);5;3;2;2;3;13;48;90;77;60;55;50;56;63;63;
MQ_03130_FV2_G (MQ241);0;0;0;0;1;2;11;25;25;14;14;18;20;23;34;
MQ_03130_FV2_L (MQ242);0;1;1;0;2;4;17;38;38;22;21;27;31;35;53;
MQ_03130_FV2_R (MQ243);0;0;0;0;0;1;4;9;9;5;5;7;8;9;13;
MQ_06160_FV1_R (MQ244);1;1;0;0;0;1;5;9;12;9;14;13;13;14;13;
MQ_03130_FV3_G (MQ245);85;43;24;35;74;249;612;1081;1066;917;831;896;945;1053;1034;
MQ_03130_FV3_L (MQ246);11;6;3;3;8;34;102;174;215;188;174;198;191;200;189;
MQ_03130_FV3_R (MQ247);2;1;1;1;2;7;15;24;24;22;20;22;22;24;25;
MQ_03130_FV4_G (MQ248);2;1;0;1;2;2;11;22;29;22;22;21;22;24;23;
MQ_03130_FV4_L (MQ249);347;1079;1067;254;724;184;78;217;234;166;141;59;259;262;150;
MQ_08020_FV1_G (MQ25);98;75;49;48;69;167;451;677;644;565;598;685;685;710;654;
MQ_03130_FV4_R (MQ250);5;2;1;2;5;5;32;65;88;65;65;64;67;72;68;
MQ_03150_FV1_G (MQ251);59;27;18;25;31;181;705;1224;1061;805;792;729;832;869;952;
MQ_06161_FV1_R (MQ252);13;10;3;3;12;29;140;336;290;192;210;211;262;272;278;
MQ_08070_FV1_G (MQ253);81;41;33;28;34;105;370;651;645;576;695;786;913;940;996;
MQ_03150_FV1_L (MQ254);3;2;0;2;2;15;76;181;188;119;112;106;115;94;138;
MQ_03150_FV1_R (MQ255);2;1;1;1;1;5;19;38;31;22;22;20;22;25;25;
MQ_08070_FV2_R (MQ256);0;0;1;0;0;3;19;31;43;14;14;18;17;21;22;
MQ_08070_FV2_L (MQ257);3;3;0;0;3;3;12;36;31;14;33;34;38;40;39;
MQ_03150_FV2_G (MQ258);150;232;165;151;224;320;176;225;229;212;212;197;196;224;171;
MQ_03150_FV2_L (MQ259);157;147;187;194;213;240;367;362;318;467;406;473;382;349;334;
MQ_08052_FV1_G (MQ26);72;33;33;35;52;188;638;1122;1026;694;620;691;850;860;829;
MQ_08070_FV3_G (MQ260);54;30;19;25;84;332;1050;1840;1488;1049;857;806;814;822;822;
MQ_03150_FV2_R (MQ261);64;99;71;65;96;137;76;97;98;91;91;84;84;96;73;
MQ_08070_FV3_L (MQ262);1;0;0;0;1;5;19;58;58;25;24;35;37;27;28;
MQ_03150_FV3_G (MQ263);40;19;10;21;35;125;418;854;825;672;552;634;609;734;753;
MQ_03150_FV3_L (MQ264);54;34;10;30;43;167;336;511;533;495;449;482;495;547;575;
MQ_03150_FV3_R (MQ265);2;1;1;1;2;3;13;37;41;29;25;30;31;36;34;
