Name  /  Date: 2015_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV4_L (MQ16);254;247;240;222;244;260;248;255;246;126;111;82;44;
MQ_03180_FV3_L (MQ160);183;273;313;298;341;429;358;347;249;164;137;108;37;
MQ_03180_FV3_R (MQ161);8;12;12;12;14;15;13;13;10;7;5;5;2;
MQ_03180_FV4_G (MQ162);156;120;131;129;142;147;155;132;86;70;41;28;15;
MQ_08041_FV1_G (MQ163);452;488;517;522;596;627;512;422;352;311;261;507;208;
MQ_03180_FV4_L (MQ164);69;73;77;80;76;71;69;54;52;32;26;20;7;
MQ_08041_FV1_L (MQ165);79;53;38;33;45;48;58;58;31;10;7;14;7;
MQ_08041_FV1_R (MQ166);10;20;23;23;30;25;17;20;19;13;10;51;14;
MQ_03180_FV4_R (MQ167);178;215;249;239;257;297;314;292;201;121;102;81;28;
MQ_03021_FV1_G (MQ168);633;697;633;645;760;950;959;771;500;354;248;180;97;
MQ_08041_FV2_L (MQ169);85;129;108;112;126;138;120;113;97;38;21;42;4;
MQ_03070_FV1_R (MQ17);;
MQ_05010_FV1_L (MQ170);294;333;349;340;434;464;398;339;287;192;153;77;62;
MQ_05010_FV1_R (MQ171);57;63;34;42;46;83;33;30;18;12;7;5;3;
MQ_08041_FV3_G (MQ172);463;432;479;488;473;502;548;535;508;294;202;138;83;
MQ_05010_FV2_G (MQ173);278;202;179;192;280;284;191;184;123;95;79;52;37;
MQ_08041_FV3_L (MQ174);25;30;21;21;38;20;19;14;7;4;4;2;3;
MQ_08041_FV3_R (MQ175);161;120;113;126;132;145;140;128;102;15;14;10;4;
MQ_05010_FV2_R (MQ176);277;284;310;297;363;403;346;409;245;212;175;125;77;
MQ_03021_FV3_G (MQ177);775;777;799;902;1027;1071;1061;803;564;432;372;229;93;
MQ_08041_FV4_L (MQ178);9;7;9;14;12;18;11;4;9;5;2;5;2;
MQ_05010_FV3_G (MQ179);216;323;319;318;671;574;467;348;187;66;29;17;4;
MQ_03070_FV2_G (MQ18);;
MQ_03020_FV3_L (MQ180);;39;30;28;47;55;60;43;23;21;21;16;7;
MQ_05010_FV3_L (MQ181);;;;;;;;;;;;;;
MQ_16130_FV1_G (MQ182);20;49;51;46;56;59;49;25;28;19;8;8;2;
MQ_03020_FV3_G (MQ183);444;492;439;445;518;609;649;524;338;243;158;145;77;
MQ_16130_FV1_L (MQ184);103;84;70;80;89;74;94;62;60;42;25;22;15;
MQ_16130_FV1_R (MQ185);32;27;34;29;26;31;37;23;17;9;8;9;2;
